Negative,Positive,All,negative_perc,positive_perc
55,115,170,32.35294117647059,67.64705882352942
17,24,41,41.46341463414634,58.536585365853654
49,207,256,19.140625,80.859375
56,120,176,31.818181818181817,68.18181818181817
74,98,172,43.02325581395349,56.97674418604651
52,107,159,32.70440251572327,67.29559748427673
62,69,131,47.32824427480916,52.67175572519084
1,42,43,2.3255813953488373,97.67441860465115
46,163,209,22.00956937799043,77.99043062200957
46,117,163,28.22085889570552,71.77914110429448
42,225,267,15.730337078651685,84.26966292134831
9,35,44,20.454545454545457,79.54545454545455
33,125,158,20.88607594936709,79.11392405063292
47,145,192,24.479166666666664,75.52083333333334
59,176,235,25.106382978723403,74.8936170212766
5,28,33,15.151515151515152,84.84848484848484
33,164,197,16.751269035532996,83.24873096446701
26,131,157,16.560509554140125,83.43949044585987
40,87,127,31.496062992125985,68.50393700787401
16,80,96,16.666666666666664,83.33333333333334
36,161,197,18.274111675126903,81.7258883248731
19,185,204,9.313725490196079,90.68627450980392
81,141,222,36.486486486486484,63.51351351351351
71,85,156,45.51282051282051,54.48717948717948
54,180,234,23.076923076923077,76.92307692307693
13,55,68,19.11764705882353,80.88235294117648
27,72,99,27.27272727272727,72.72727272727273
5,18,23,21.73913043478261,78.26086956521739
67,102,169,39.64497041420118,60.35502958579882
24,61,85,28.235294117647058,71.76470588235294
7,40,47,14.893617021276595,85.1063829787234
4,28,32,12.5,87.5
7,19,26,26.923076923076923,73.07692307692307
3,33,36,8.333333333333332,91.66666666666666
60,194,254,23.62204724409449,76.37795275590551
27,157,184,14.673913043478262,85.32608695652173
5,12,17,29.411764705882355,70.58823529411765
10,22,32,31.25,68.75
7,28,35,20.0,80.0
10,32,42,23.809523809523807,76.19047619047619
12,25,37,32.432432432432435,67.56756756756756
7,78,85,8.235294117647058,91.76470588235294
43,142,185,23.243243243243246,76.75675675675676
10,42,52,19.230769230769234,80.76923076923077
88,90,178,49.43820224719101,50.56179775280899
20,45,65,30.76923076923077,69.23076923076923
18,59,77,23.376623376623375,76.62337662337663
5,26,31,16.129032258064516,83.87096774193549
19,20,39,48.717948717948715,51.28205128205128
7,36,43,16.27906976744186,83.72093023255815
47,56,103,45.63106796116505,54.36893203883495
5,26,31,16.129032258064516,83.87096774193549
38,49,87,43.67816091954023,56.32183908045977
6,30,36,16.666666666666664,83.33333333333334
13,138,151,8.609271523178808,91.3907284768212
37,85,122,30.327868852459016,69.67213114754098
64,69,133,48.1203007518797,51.8796992481203
25,68,93,26.881720430107524,73.11827956989248
6,14,20,30.0,70.0
15,10,25,60.0,40.0
1,29,30,3.3333333333333335,96.66666666666667
9,31,40,22.5,77.5
38,75,113,33.6283185840708,66.3716814159292
23,18,41,56.09756097560976,43.90243902439025
42,171,213,19.718309859154928,80.28169014084507
47,104,151,31.125827814569533,68.87417218543047
22,124,146,15.068493150684931,84.93150684931507
2,45,47,4.25531914893617,95.74468085106383
3,4,7,42.857142857142854,57.14285714285714
2,23,25,8.0,92.0
13,29,42,30.952380952380953,69.04761904761905
5,31,36,13.88888888888889,86.11111111111111
10,13,23,43.47826086956522,56.52173913043478
11,28,39,28.205128205128204,71.7948717948718
13,33,46,28.26086956521739,71.73913043478261
12,13,25,48.0,52.0
31,239,270,11.481481481481481,88.51851851851852
38,124,162,23.456790123456788,76.5432098765432
9,31,40,22.5,77.5
33,171,204,16.176470588235293,83.82352941176471
1,12,13,7.6923076923076925,92.3076923076923
4,14,18,22.22222222222222,77.77777777777779
9,33,42,21.428571428571427,78.57142857142857
16,82,98,16.3265306122449,83.6734693877551
72,63,135,53.333333333333336,46.666666666666664
4,13,17,23.52941176470588,76.47058823529412
5,12,17,29.411764705882355,70.58823529411765
16,54,70,22.857142857142858,77.14285714285715
5,23,28,17.857142857142858,82.14285714285714
56,117,173,32.369942196531795,67.63005780346822
12,56,68,17.647058823529413,82.35294117647058
2,42,44,4.545454545454546,95.45454545454545
14,23,37,37.83783783783784,62.16216216216216
0,12,12,0.0,100.0
11,45,56,19.642857142857142,80.35714285714286
5,45,50,10.0,90.0
2,44,46,4.3478260869565215,95.65217391304348
68,72,140,48.57142857142857,51.42857142857142
5,34,39,12.82051282051282,87.17948717948718
30,39,69,43.47826086956522,56.52173913043478
24,103,127,18.89763779527559,81.10236220472441
8,29,37,21.62162162162162,78.37837837837837
10,19,29,34.48275862068966,65.51724137931035
18,32,50,36.0,64.0
5,20,25,20.0,80.0
48,118,166,28.915662650602407,71.08433734939759
20,38,58,34.48275862068966,65.51724137931035
10,10,20,50.0,50.0
2,10,12,16.666666666666664,83.33333333333334
2,41,43,4.651162790697675,95.34883720930233
15,19,34,44.11764705882353,55.88235294117647
6,17,23,26.08695652173913,73.91304347826086
10,11,21,47.61904761904761,52.38095238095239
61,94,155,39.35483870967742,60.64516129032258
54,100,154,35.064935064935064,64.93506493506493
33,134,167,19.760479041916167,80.23952095808383
26,41,67,38.80597014925373,61.19402985074627
27,104,131,20.610687022900763,79.38931297709924
34,176,210,16.19047619047619,83.80952380952381
12,111,123,9.75609756097561,90.2439024390244
27,86,113,23.893805309734514,76.10619469026548
9,28,37,24.324324324324326,75.67567567567568
10,23,33,30.303030303030305,69.6969696969697
3,54,57,5.263157894736842,94.73684210526315
6,45,51,11.76470588235294,88.23529411764706
21,13,34,61.76470588235294,38.23529411764706
58,172,230,25.217391304347824,74.78260869565217
6,43,49,12.244897959183673,87.75510204081633
15,23,38,39.473684210526315,60.526315789473685
3,13,16,18.75,81.25
24,38,62,38.70967741935484,61.29032258064516
11,19,30,36.666666666666664,63.33333333333333
3,7,10,30.0,70.0
23,117,140,16.428571428571427,83.57142857142857
6,8,14,42.857142857142854,57.14285714285714
2,15,17,11.76470588235294,88.23529411764706
5,16,21,23.809523809523807,76.19047619047619
8,27,35,22.857142857142858,77.14285714285715
11,19,30,36.666666666666664,63.33333333333333
6,16,22,27.27272727272727,72.72727272727273
14,79,93,15.053763440860216,84.94623655913979
15,38,53,28.30188679245283,71.69811320754717
17,63,80,21.25,78.75
38,126,164,23.170731707317074,76.82926829268293
5,9,14,35.714285714285715,64.28571428571429
2,8,10,20.0,80.0
0,11,11,0.0,100.0
46,99,145,31.724137931034484,68.27586206896552
40,86,126,31.746031746031743,68.25396825396825
8,11,19,42.10526315789473,57.89473684210527
1,25,26,3.8461538461538463,96.15384615384616
1,11,12,8.333333333333332,91.66666666666666
4,10,14,28.57142857142857,71.42857142857143
34,104,138,24.637681159420293,75.36231884057972
3,5,8,37.5,62.5
7,52,59,11.864406779661017,88.13559322033898
67,165,232,28.879310344827587,71.12068965517241
39,81,120,32.5,67.5
5,17,22,22.727272727272727,77.27272727272727
45,63,108,41.66666666666667,58.333333333333336
39,157,196,19.897959183673468,80.10204081632652
5,8,13,38.46153846153847,61.53846153846154
10,15,25,40.0,60.0
36,117,153,23.52941176470588,76.47058823529412
50,45,95,52.63157894736842,47.368421052631575
5,31,36,13.88888888888889,86.11111111111111
6,20,26,23.076923076923077,76.92307692307693
9,25,34,26.47058823529412,73.52941176470588
8,15,23,34.78260869565217,65.21739130434783
5,12,17,29.411764705882355,70.58823529411765
6,8,14,42.857142857142854,57.14285714285714
17,69,86,19.767441860465116,80.23255813953489
7,65,72,9.722222222222223,90.27777777777779
4,22,26,15.384615384615385,84.61538461538461
31,87,118,26.27118644067797,73.72881355932203
12,67,79,15.18987341772152,84.81012658227847
44,105,149,29.53020134228188,70.46979865771812
6,11,17,35.294117647058826,64.70588235294117
3,8,11,27.27272727272727,72.72727272727273
10,48,58,17.24137931034483,82.75862068965517
5,13,18,27.77777777777778,72.22222222222221
74,66,140,52.85714285714286,47.14285714285714
17,60,77,22.07792207792208,77.92207792207793
0,9,9,0.0,100.0
7,31,38,18.421052631578945,81.57894736842105
78,76,154,50.649350649350644,49.35064935064935
6,4,10,60.0,40.0
3,30,33,9.090909090909092,90.9090909090909
24,49,73,32.87671232876712,67.12328767123287
47,85,132,35.60606060606061,64.39393939393939
79,93,172,45.93023255813954,54.06976744186046
26,57,83,31.32530120481928,68.67469879518072
5,22,27,18.51851851851852,81.48148148148148
7,47,54,12.962962962962962,87.03703703703704
31,66,97,31.958762886597935,68.04123711340206
9,17,26,34.61538461538461,65.38461538461539
38,94,132,28.78787878787879,71.21212121212122
50,55,105,47.61904761904761,52.38095238095239
10,8,18,55.55555555555556,44.44444444444444
10,25,35,28.57142857142857,71.42857142857143
9,21,30,30.0,70.0
26,92,118,22.033898305084744,77.96610169491525
32,155,187,17.11229946524064,82.88770053475936
36,121,157,22.929936305732486,77.07006369426752
21,25,46,45.65217391304348,54.347826086956516
6,15,21,28.57142857142857,71.42857142857143
10,22,32,31.25,68.75
4,23,27,14.814814814814813,85.18518518518519
4,13,17,23.52941176470588,76.47058823529412
6,10,16,37.5,62.5
64,75,139,46.043165467625904,53.956834532374096
124,284,408,30.392156862745097,69.6078431372549
17,81,98,17.346938775510203,82.6530612244898
7,46,53,13.20754716981132,86.79245283018868
15,9,24,62.5,37.5
3,22,25,12.0,88.0
11,18,29,37.93103448275862,62.06896551724138
14,17,31,45.16129032258064,54.83870967741935
40,71,111,36.03603603603604,63.96396396396396
82,98,180,45.55555555555556,54.44444444444444
6,14,20,30.0,70.0
3,12,15,20.0,80.0
39,87,126,30.952380952380953,69.04761904761905
2,30,32,6.25,93.75
8,30,38,21.052631578947366,78.94736842105263
24,147,171,14.035087719298245,85.96491228070175
11,81,92,11.956521739130435,88.04347826086956
7,10,17,41.17647058823529,58.82352941176471
41,97,138,29.71014492753623,70.28985507246377
10,19,29,34.48275862068966,65.51724137931035
1,25,26,3.8461538461538463,96.15384615384616
17,58,75,22.666666666666664,77.33333333333333
69,32,101,68.31683168316832,31.683168316831683
53,147,200,26.5,73.5
4,11,15,26.666666666666668,73.33333333333333
10,18,28,35.714285714285715,64.28571428571429
5,20,25,20.0,80.0
58,55,113,51.32743362831859,48.67256637168141
5,36,41,12.195121951219512,87.8048780487805
28,81,109,25.688073394495415,74.31192660550458
28,93,121,23.140495867768596,76.85950413223141
30,222,252,11.904761904761903,88.09523809523809
2,19,21,9.523809523809524,90.47619047619048
4,13,17,23.52941176470588,76.47058823529412
40,68,108,37.03703703703704,62.96296296296296
13,27,40,32.5,67.5
7,51,58,12.068965517241379,87.93103448275862
20,70,90,22.22222222222222,77.77777777777779
6,10,16,37.5,62.5
10,15,25,40.0,60.0
6,8,14,42.857142857142854,57.14285714285714
72,114,186,38.70967741935484,61.29032258064516
5,3,8,62.5,37.5
74,144,218,33.94495412844037,66.05504587155964
30,96,126,23.809523809523807,76.19047619047619
6,28,34,17.647058823529413,82.35294117647058
5,9,14,35.714285714285715,64.28571428571429
12,9,21,57.14285714285714,42.857142857142854
41,41,82,50.0,50.0
61,88,149,40.939597315436245,59.06040268456376
11,26,37,29.72972972972973,70.27027027027027
5,14,19,26.31578947368421,73.68421052631578
13,45,58,22.413793103448278,77.58620689655173
9,29,38,23.684210526315788,76.31578947368422
45,64,109,41.284403669724774,58.71559633027523
28,60,88,31.818181818181817,68.18181818181817
16,20,36,44.44444444444444,55.55555555555556
58,186,244,23.770491803278688,76.22950819672131
7,25,32,21.875,78.125
58,52,110,52.72727272727272,47.27272727272727
19,19,38,50.0,50.0
5,13,18,27.77777777777778,72.22222222222221
26,51,77,33.76623376623377,66.23376623376623
5,42,47,10.638297872340425,89.36170212765957
1,17,18,5.555555555555555,94.44444444444444
7,22,29,24.137931034482758,75.86206896551724
6,19,25,24.0,76.0
88,57,145,60.689655172413794,39.310344827586206
11,6,17,64.70588235294117,35.294117647058826
26,52,78,33.33333333333333,66.66666666666666
14,23,37,37.83783783783784,62.16216216216216
6,27,33,18.181818181818183,81.81818181818183
8,11,19,42.10526315789473,57.89473684210527
16,55,71,22.535211267605636,77.46478873239437
11,18,29,37.93103448275862,62.06896551724138
11,2,13,84.61538461538461,15.384615384615385
21,28,49,42.857142857142854,57.14285714285714
3,14,17,17.647058823529413,82.35294117647058
12,10,22,54.54545454545454,45.45454545454545
27,68,95,28.421052631578945,71.57894736842105
4,9,13,30.76923076923077,69.23076923076923
57,80,137,41.605839416058394,58.3941605839416
51,90,141,36.17021276595745,63.829787234042556
2,7,9,22.22222222222222,77.77777777777779
4,21,25,16.0,84.0
12,15,27,44.44444444444444,55.55555555555556
38,62,100,38.0,62.0
8,7,15,53.333333333333336,46.666666666666664
3,11,14,21.428571428571427,78.57142857142857
7,32,39,17.94871794871795,82.05128205128204
40,41,81,49.382716049382715,50.617283950617285
4,9,13,30.76923076923077,69.23076923076923
20,49,69,28.985507246376812,71.01449275362319
7,15,22,31.818181818181817,68.18181818181817
5,48,53,9.433962264150944,90.56603773584906
57,63,120,47.5,52.5
22,125,147,14.965986394557824,85.03401360544217
12,15,27,44.44444444444444,55.55555555555556
10,33,43,23.25581395348837,76.74418604651163
3,15,18,16.666666666666664,83.33333333333334
1,4,5,20.0,80.0
32,64,96,33.33333333333333,66.66666666666666
39,159,198,19.696969696969695,80.3030303030303
2,23,25,8.0,92.0
32,27,59,54.23728813559322,45.76271186440678
3,8,11,27.27272727272727,72.72727272727273
9,13,22,40.909090909090914,59.09090909090909
5,14,19,26.31578947368421,73.68421052631578
11,39,50,22.0,78.0
37,57,94,39.361702127659576,60.63829787234043
26,86,112,23.214285714285715,76.78571428571429
10,20,30,33.33333333333333,66.66666666666666
19,38,57,33.33333333333333,66.66666666666666
22,99,121,18.181818181818183,81.81818181818183
9,30,39,23.076923076923077,76.92307692307693
26,137,163,15.950920245398773,84.04907975460122
0,12,12,0.0,100.0
20,34,54,37.03703703703704,62.96296296296296
5,21,26,19.230769230769234,80.76923076923077
21,36,57,36.84210526315789,63.1578947368421
8,13,21,38.095238095238095,61.904761904761905
12,48,60,20.0,80.0
7,17,24,29.166666666666668,70.83333333333334
19,68,87,21.839080459770116,78.16091954022988
8,19,27,29.629629629629626,70.37037037037037
11,13,24,45.83333333333333,54.166666666666664
5,39,44,11.363636363636363,88.63636363636364
50,70,120,41.66666666666667,58.333333333333336
43,91,134,32.08955223880597,67.91044776119402
4,6,10,40.0,60.0
13,10,23,56.52173913043478,43.47826086956522
50,52,102,49.01960784313725,50.98039215686274
6,19,25,24.0,76.0
10,38,48,20.833333333333336,79.16666666666666
1,13,14,7.142857142857142,92.85714285714286
3,6,9,33.33333333333333,66.66666666666666
38,88,126,30.158730158730158,69.84126984126983
18,6,24,75.0,25.0
2,22,24,8.333333333333332,91.66666666666666
13,51,64,20.3125,79.6875
40,84,124,32.25806451612903,67.74193548387096
20,34,54,37.03703703703704,62.96296296296296
2,18,20,10.0,90.0
7,21,28,25.0,75.0
9,19,28,32.142857142857146,67.85714285714286
26,30,56,46.42857142857143,53.57142857142857
21,98,119,17.647058823529413,82.35294117647058
2,13,15,13.333333333333334,86.66666666666667
32,107,139,23.021582733812952,76.97841726618705
8,4,12,66.66666666666666,33.33333333333333
18,5,23,78.26086956521739,21.73913043478261
2,27,29,6.896551724137931,93.10344827586206
18,70,88,20.454545454545457,79.54545454545455
2,14,16,12.5,87.5
28,121,149,18.79194630872483,81.20805369127517
2,33,35,5.714285714285714,94.28571428571428
101,96,197,51.26903553299492,48.73096446700508
9,10,19,47.368421052631575,52.63157894736842
2,16,18,11.11111111111111,88.88888888888889
45,118,163,27.607361963190186,72.39263803680981
6,17,23,26.08695652173913,73.91304347826086
3,28,31,9.67741935483871,90.32258064516128
11,11,22,50.0,50.0
16,22,38,42.10526315789473,57.89473684210527
2,7,9,22.22222222222222,77.77777777777779
7,21,28,25.0,75.0
6,15,21,28.57142857142857,71.42857142857143
14,22,36,38.88888888888889,61.111111111111114
8,15,23,34.78260869565217,65.21739130434783
6,55,61,9.836065573770492,90.1639344262295
0,17,17,0.0,100.0
2,21,23,8.695652173913043,91.30434782608695
47,66,113,41.5929203539823,58.4070796460177
5,13,18,27.77777777777778,72.22222222222221
8,12,20,40.0,60.0
20,44,64,31.25,68.75
1,19,20,5.0,95.0
9,32,41,21.951219512195124,78.04878048780488
63,81,144,43.75,56.25
2,10,12,16.666666666666664,83.33333333333334
57,64,121,47.107438016528924,52.892561983471076
13,17,30,43.333333333333336,56.666666666666664
6,19,25,24.0,76.0
21,21,42,50.0,50.0
2,44,46,4.3478260869565215,95.65217391304348
6,6,12,50.0,50.0
9,4,13,69.23076923076923,30.76923076923077
3,30,33,9.090909090909092,90.9090909090909
6,23,29,20.689655172413794,79.3103448275862
10,26,36,27.77777777777778,72.22222222222221
31,67,98,31.63265306122449,68.36734693877551
2,22,24,8.333333333333332,91.66666666666666
45,29,74,60.810810810810814,39.189189189189186
23,52,75,30.666666666666664,69.33333333333334
5,11,16,31.25,68.75
40,35,75,53.333333333333336,46.666666666666664
1,18,19,5.263157894736842,94.73684210526315
6,11,17,35.294117647058826,64.70588235294117
14,60,74,18.91891891891892,81.08108108108108
12,21,33,36.36363636363637,63.63636363636363
3,7,10,30.0,70.0
10,31,41,24.390243902439025,75.60975609756098
29,11,40,72.5,27.500000000000004
4,30,34,11.76470588235294,88.23529411764706
5,11,16,31.25,68.75
39,38,77,50.649350649350644,49.35064935064935
3,18,21,14.285714285714285,85.71428571428571
38,50,88,43.18181818181818,56.81818181818182
44,42,86,51.162790697674424,48.837209302325576
16,44,60,26.666666666666668,73.33333333333333
3,12,15,20.0,80.0
40,108,148,27.027027027027028,72.97297297297297
39,85,124,31.451612903225808,68.54838709677419
36,38,74,48.64864864864865,51.35135135135135
9,4,13,69.23076923076923,30.76923076923077
2,7,9,22.22222222222222,77.77777777777779
55,81,136,40.44117647058824,59.55882352941176
6,21,27,22.22222222222222,77.77777777777779
28,31,59,47.45762711864407,52.54237288135594
33,40,73,45.20547945205479,54.794520547945204
64,59,123,52.03252032520326,47.96747967479675
3,11,14,21.428571428571427,78.57142857142857
45,71,116,38.793103448275865,61.206896551724135
2,15,17,11.76470588235294,88.23529411764706
40,101,141,28.368794326241137,71.63120567375887
68,48,116,58.620689655172406,41.37931034482759
11,38,49,22.448979591836736,77.55102040816327
4,14,18,22.22222222222222,77.77777777777779
5,3,8,62.5,37.5
1,9,10,10.0,90.0
69,54,123,56.09756097560976,43.90243902439025
39,58,97,40.20618556701031,59.79381443298969
12,23,35,34.285714285714285,65.71428571428571
80,75,155,51.61290322580645,48.38709677419355
31,92,123,25.203252032520325,74.79674796747967
13,24,37,35.13513513513514,64.86486486486487
44,63,107,41.1214953271028,58.87850467289719
4,9,13,30.76923076923077,69.23076923076923
115,82,197,58.37563451776649,41.62436548223351
12,55,67,17.91044776119403,82.08955223880598
40,83,123,32.52032520325203,67.47967479674797
72,67,139,51.798561151079134,48.201438848920866
6,8,14,42.857142857142854,57.14285714285714
15,6,21,71.42857142857143,28.57142857142857
15,24,39,38.46153846153847,61.53846153846154
20,19,39,51.28205128205128,48.717948717948715
13,16,29,44.827586206896555,55.172413793103445
79,69,148,53.37837837837838,46.62162162162162
8,17,25,32.0,68.0
5,19,24,20.833333333333336,79.16666666666666
32,90,122,26.229508196721312,73.77049180327869
33,149,182,18.13186813186813,81.86813186813187
4,36,40,10.0,90.0
55,123,178,30.89887640449438,69.10112359550563
4,7,11,36.36363636363637,63.63636363636363
3,19,22,13.636363636363635,86.36363636363636
6,10,16,37.5,62.5
19,82,101,18.81188118811881,81.1881188118812
10,12,22,45.45454545454545,54.54545454545454
66,96,162,40.74074074074074,59.25925925925925
52,83,135,38.51851851851852,61.48148148148148
64,45,109,58.71559633027523,41.284403669724774
19,11,30,63.33333333333333,36.666666666666664
28,48,76,36.84210526315789,63.1578947368421
3,6,9,33.33333333333333,66.66666666666666
39,68,107,36.44859813084112,63.55140186915887
56,54,110,50.90909090909091,49.09090909090909
44,37,81,54.32098765432099,45.67901234567901
4,16,20,20.0,80.0
46,62,108,42.592592592592595,57.407407407407405
71,51,122,58.19672131147541,41.80327868852459
4,8,12,33.33333333333333,66.66666666666666
8,20,28,28.57142857142857,71.42857142857143
11,19,30,36.666666666666664,63.33333333333333
1,6,7,14.285714285714285,85.71428571428571
50,64,114,43.859649122807014,56.14035087719298
8,12,20,40.0,60.0
78,66,144,54.166666666666664,45.83333333333333
8,20,28,28.57142857142857,71.42857142857143
27,11,38,71.05263157894737,28.947368421052634
42,81,123,34.146341463414636,65.85365853658537
23,22,45,51.11111111111111,48.888888888888886
7,10,17,41.17647058823529,58.82352941176471
9,14,23,39.130434782608695,60.86956521739131
21,29,50,42.0,57.99999999999999
6,13,19,31.57894736842105,68.42105263157895
3,15,18,16.666666666666664,83.33333333333334
28,40,68,41.17647058823529,58.82352941176471
10,76,86,11.627906976744185,88.37209302325581
82,143,225,36.44444444444444,63.55555555555556
10,24,34,29.411764705882355,70.58823529411765
14,37,51,27.450980392156865,72.54901960784314
5,9,14,35.714285714285715,64.28571428571429
48,43,91,52.74725274725275,47.25274725274725
4,15,19,21.052631578947366,78.94736842105263
8,16,24,33.33333333333333,66.66666666666666
8,33,41,19.51219512195122,80.48780487804879
5,6,11,45.45454545454545,54.54545454545454
5,11,16,31.25,68.75
5,39,44,11.363636363636363,88.63636363636364
40,27,67,59.70149253731343,40.298507462686565
21,31,52,40.38461538461539,59.61538461538461
80,86,166,48.19277108433735,51.80722891566265
13,35,48,27.083333333333332,72.91666666666666
34,185,219,15.52511415525114,84.47488584474885
26,33,59,44.06779661016949,55.932203389830505
25,37,62,40.32258064516129,59.67741935483871
20,60,80,25.0,75.0
7,13,20,35.0,65.0
1,7,8,12.5,87.5
1,9,10,10.0,90.0
13,84,97,13.402061855670103,86.5979381443299
57,69,126,45.23809523809524,54.761904761904766
3,29,32,9.375,90.625
30,67,97,30.927835051546392,69.0721649484536
13,11,24,54.166666666666664,45.83333333333333
11,4,15,73.33333333333333,26.666666666666668
24,34,58,41.37931034482759,58.620689655172406
1,8,9,11.11111111111111,88.88888888888889
1,7,8,12.5,87.5
5,20,25,20.0,80.0
3,14,17,17.647058823529413,82.35294117647058
56,53,109,51.37614678899083,48.62385321100918
68,211,279,24.372759856630825,75.62724014336918
19,18,37,51.35135135135135,48.64864864864865
3,25,28,10.714285714285714,89.28571428571429
28,21,49,57.14285714285714,42.857142857142854
6,17,23,26.08695652173913,73.91304347826086
29,79,108,26.851851851851855,73.14814814814815
16,15,31,51.61290322580645,48.38709677419355
56,60,116,48.275862068965516,51.724137931034484
9,60,69,13.043478260869565,86.95652173913044
4,31,35,11.428571428571429,88.57142857142857
19,52,71,26.76056338028169,73.23943661971832
9,8,17,52.94117647058824,47.05882352941176
50,67,117,42.73504273504273,57.26495726495726
69,62,131,52.67175572519084,47.32824427480916
1,10,11,9.090909090909092,90.9090909090909
10,14,24,41.66666666666667,58.333333333333336
12,33,45,26.666666666666668,73.33333333333333
35,54,89,39.325842696629216,60.67415730337079
48,63,111,43.24324324324324,56.75675675675676
57,189,246,23.170731707317074,76.82926829268293
29,73,102,28.431372549019606,71.56862745098039
31,144,175,17.71428571428571,82.28571428571428
3,7,10,30.0,70.0
2,10,12,16.666666666666664,83.33333333333334
35,34,69,50.72463768115942,49.275362318840585
2,9,11,18.181818181818183,81.81818181818183
44,73,117,37.60683760683761,62.39316239316239
4,13,17,23.52941176470588,76.47058823529412
13,114,127,10.236220472440944,89.76377952755905
69,59,128,53.90625,46.09375
2,5,7,28.57142857142857,71.42857142857143
4,6,10,40.0,60.0
8,13,21,38.095238095238095,61.904761904761905
2,11,13,15.384615384615385,84.61538461538461
5,14,19,26.31578947368421,73.68421052631578
10,20,30,33.33333333333333,66.66666666666666
52,44,96,54.166666666666664,45.83333333333333
6,8,14,42.857142857142854,57.14285714285714
3,17,20,15.0,85.0
35,27,62,56.451612903225815,43.54838709677419
30,118,148,20.27027027027027,79.72972972972973
35,61,96,36.45833333333333,63.541666666666664
16,40,56,28.57142857142857,71.42857142857143
12,9,21,57.14285714285714,42.857142857142854
7,13,20,35.0,65.0
89,60,149,59.73154362416108,40.26845637583892
15,73,88,17.045454545454543,82.95454545454545
30,56,86,34.883720930232556,65.11627906976744
38,53,91,41.75824175824176,58.24175824175825
76,68,144,52.77777777777778,47.22222222222222
12,24,36,33.33333333333333,66.66666666666666
9,19,28,32.142857142857146,67.85714285714286
12,64,76,15.789473684210526,84.21052631578947
11,11,22,50.0,50.0
8,9,17,47.05882352941176,52.94117647058824
47,47,94,50.0,50.0
7,14,21,33.33333333333333,66.66666666666666
50,93,143,34.96503496503497,65.03496503496503
3,18,21,14.285714285714285,85.71428571428571
4,18,22,18.181818181818183,81.81818181818183
51,51,102,50.0,50.0
28,25,53,52.83018867924528,47.16981132075472
17,36,53,32.075471698113205,67.9245283018868
13,20,33,39.39393939393939,60.60606060606061
6,12,18,33.33333333333333,66.66666666666666
1,11,12,8.333333333333332,91.66666666666666
9,25,34,26.47058823529412,73.52941176470588
17,9,26,65.38461538461539,34.61538461538461
45,75,120,37.5,62.5
4,26,30,13.333333333333334,86.66666666666667
13,22,35,37.142857142857146,62.857142857142854
